Provider Name,DBT-A Certified,Adherent Team Only,Full Address (DHS),City,State,ZIP,Phone (DHS),Website (DHS),Logo File,Logo URL (CDN),Contact Page URL,Staff/Team Page URL,Email,Phone (Website),Fax,Services Offered,DBT Services Description,Ages Served,Accepts Insurance,Telehealth Available,In-Person Available,Staff Names,Staff Credentials,Specialties,Sliding Scale,Accepting New Clients,Facebook URL,Instagram URL,Notes,Data Source
Sagent Behavioral Health,Yes,No,"201 North Broad Street, Mankato, MN, 56001",Mankato,MN,56001,507-225-1500,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy-dbt/,sagent_behavioral_health.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/vFiNAHDCCWEFOMop.svg,https://sagentbh.com/our-locations/,https://sagentbh.com/our-providers/,Not found,866-938-4159,Not found,"Individual DBT, Group DBT, Skills Training, Therapy, Psychiatry, Substance Use Treatment, Psychological Testing, Telehealth","An evidence-based treatment for borderline personality disorder, chronic depression, anxiety, eating disorders, and addictions. The program includes weekly individual therapy, skills training, and phone coaching.","Adults, Adolescents, Children",Yes - all insurances including medical assistance and other state health plans.,Yes,Yes,"Aaron Doering, Aaron Ostler, Abagael Brault, Abbey Graner, Abbey Olderog","Outpatient Therapy Intern, MA, LPCC Track, LPCC, MSW, LMHC","ADHD, Anger Issues, Anxiety, Autism, Bipolar Disorder, Depression, Insomnia, LGBTQIA+ Affirming, Stress Management, Substance Use, Suicidal Thoughts, Work Issues",Yes,Yes,https://www.facebook.com/SagentBehavioralHealth/,https://www.instagram.com/sagentbehavioralhealth/,Sagent Behavioral Health was formerly Nystrom Counseling. They have multiple locations across several states.,MN DHS + Website Enrichment
Sagent Behavioral Health,Yes,No,"13603 80th Circle North, Maple Grove, MN, 55369",Maple Grove,MN,13603,763-274-3120,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,sagent_behavioral_health.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/vFiNAHDCCWEFOMop.svg,https://sagentbh.com/our-locations/,https://sagentbh.com/our-providers/,Not found,866-938-4159,Not found,"Individual DBT, Group DBT, Skills Training, Therapy, Psychiatry, Substance Use Treatment, Psychological Testing, Telehealth","An evidence-based treatment for borderline personality disorder, chronic depression, anxiety, eating disorders, and addictions. The program includes weekly individual therapy, skills training, and phone coaching.","Adults, Adolescents, Children",Yes - all insurances including medical assistance and other state health plans.,Yes,Yes,"Aaron Doering, Aaron Ostler, Abagael Brault, Abbey Graner, Abbey Olderog","Outpatient Therapy Intern, MA, LPCC Track, LPCC, MSW, LMHC","ADHD, Anger Issues, Anxiety, Autism, Bipolar Disorder, Depression, Insomnia, LGBTQIA+ Affirming, Stress Management, Substance Use, Suicidal Thoughts, Work Issues",Yes,Yes,https://www.facebook.com/SagentBehavioralHealth/,https://www.instagram.com/sagentbehavioralhealth/,Sagent Behavioral Health was formerly Nystrom Counseling. They have multiple locations across several states.,MN DHS + Website Enrichment
Sagent Behavioral Health,No,No,"13100 Wayzata Boulevard, Suite 200, Minnetonka, MN, 55305",Minnetonka,MN,13100,952-206-2040,https://www.nystromcounseling.com/,sagent_behavioral_health.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/vFiNAHDCCWEFOMop.svg,https://sagentbh.com/our-locations/,https://sagentbh.com/our-providers/,Not found,866-938-4159,Not found,"Individual DBT, Group DBT, Skills Training, Therapy, Psychiatry, Substance Use Treatment, Psychological Testing, Telehealth","An evidence-based treatment for borderline personality disorder, chronic depression, anxiety, eating disorders, and addictions. The program includes weekly individual therapy, skills training, and phone coaching.","Adults, Adolescents, Children",Yes - all insurances including medical assistance and other state health plans.,Yes,Yes,"Aaron Doering, Aaron Ostler, Abagael Brault, Abbey Graner, Abbey Olderog","Outpatient Therapy Intern, MA, LPCC Track, LPCC, MSW, LMHC","ADHD, Anger Issues, Anxiety, Autism, Bipolar Disorder, Depression, Insomnia, LGBTQIA+ Affirming, Stress Management, Substance Use, Suicidal Thoughts, Work Issues",Yes,Yes,https://www.facebook.com/SagentBehavioralHealth/,https://www.instagram.com/sagentbehavioralhealth/,Sagent Behavioral Health was formerly Nystrom Counseling. They have multiple locations across several states.,MN DHS + Website Enrichment
Sagent Behavioral Health,Yes,No,"1900 Silver Lake Road, Suite 110, New Brighton, MN, 55112",New Brighton,MN,55112,651-628-9566,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,sagent_behavioral_health.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/vFiNAHDCCWEFOMop.svg,https://sagentbh.com/our-locations/,https://sagentbh.com/our-providers/,Not found,866-938-4159,Not found,"Individual DBT, Group DBT, Skills Training, Therapy, Psychiatry, Substance Use Treatment, Psychological Testing, Telehealth","An evidence-based treatment for borderline personality disorder, chronic depression, anxiety, eating disorders, and addictions. The program includes weekly individual therapy, skills training, and phone coaching.","Adults, Adolescents, Children",Yes - all insurances including medical assistance and other state health plans.,Yes,Yes,"Aaron Doering, Aaron Ostler, Abagael Brault, Abbey Graner, Abbey Olderog","Outpatient Therapy Intern, MA, LPCC Track, LPCC, MSW, LMHC","ADHD, Anger Issues, Anxiety, Autism, Bipolar Disorder, Depression, Insomnia, LGBTQIA+ Affirming, Stress Management, Substance Use, Suicidal Thoughts, Work Issues",Yes,Yes,https://www.facebook.com/SagentBehavioralHealth/,https://www.instagram.com/sagentbehavioralhealth/,Sagent Behavioral Health was formerly Nystrom Counseling. They have multiple locations across several states.,MN DHS + Website Enrichment
Sagent Behavioral Health,No,No,"9245 Quantrelle Avenue, Otsego, MN, 55330",Otsego,MN,55330,763-746-9492,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,sagent_behavioral_health.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/vFiNAHDCCWEFOMop.svg,https://sagentbh.com/our-locations/,https://sagentbh.com/our-providers/,Not found,866-938-4159,Not found,"Individual DBT, Group DBT, Skills Training, Therapy, Psychiatry, Substance Use Treatment, Psychological Testing, Telehealth","An evidence-based treatment for borderline personality disorder, chronic depression, anxiety, eating disorders, and addictions. The program includes weekly individual therapy, skills training, and phone coaching.","Adults, Adolescents, Children",Yes - all insurances including medical assistance and other state health plans.,Yes,Yes,"Aaron Doering, Aaron Ostler, Abagael Brault, Abbey Graner, Abbey Olderog","Outpatient Therapy Intern, MA, LPCC Track, LPCC, MSW, LMHC","ADHD, Anger Issues, Anxiety, Autism, Bipolar Disorder, Depression, Insomnia, LGBTQIA+ Affirming, Stress Management, Substance Use, Suicidal Thoughts, Work Issues",Yes,Yes,https://www.facebook.com/SagentBehavioralHealth/,https://www.instagram.com/sagentbehavioralhealth/,Sagent Behavioral Health was formerly Nystrom Counseling. They have multiple locations across several states.,MN DHS + Website Enrichment
Sagent Behavioral Health,Yes,No,"101 Delher Drive, St. Cloud, MN, 56377",St. Cloud,MN,56377,320-253-3512,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,sagent_behavioral_health.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/vFiNAHDCCWEFOMop.svg,https://sagentbh.com/our-locations/,https://sagentbh.com/our-providers/,Not found,866-938-4159,Not found,"Individual DBT, Group DBT, Skills Training, Therapy, Psychiatry, Substance Use Treatment, Psychological Testing, Telehealth","An evidence-based treatment for borderline personality disorder, chronic depression, anxiety, eating disorders, and addictions. The program includes weekly individual therapy, skills training, and phone coaching.","Adults, Adolescents, Children",Yes - all insurances including medical assistance and other state health plans.,Yes,Yes,"Aaron Doering, Aaron Ostler, Abagael Brault, Abbey Graner, Abbey Olderog","Outpatient Therapy Intern, MA, LPCC Track, LPCC, MSW, LMHC","ADHD, Anger Issues, Anxiety, Autism, Bipolar Disorder, Depression, Insomnia, LGBTQIA+ Affirming, Stress Management, Substance Use, Suicidal Thoughts, Work Issues",Yes,Yes,https://www.facebook.com/SagentBehavioralHealth/,https://www.instagram.com/sagentbehavioralhealth/,Sagent Behavioral Health was formerly Nystrom Counseling. They have multiple locations across several states.,MN DHS + Website Enrichment
Sagent Behavioral Health,Yes,No,"1811 Weir Drive, Suite 270, Woodbury, MN, 55125",Woodbury,MN,55125,651-714-9646,https://www.nystromcounseling.com/our-locations/minnesota/woodbury-clinic/,sagent_behavioral_health.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/vFiNAHDCCWEFOMop.svg,https://sagentbh.com/our-locations/,https://sagentbh.com/our-providers/,Not found,866-938-4159,Not found,"Individual DBT, Group DBT, Skills Training, Therapy, Psychiatry, Substance Use Treatment, Psychological Testing, Telehealth","An evidence-based treatment for borderline personality disorder, chronic depression, anxiety, eating disorders, and addictions. The program includes weekly individual therapy, skills training, and phone coaching.","Adults, Adolescents, Children",Yes - all insurances including medical assistance and other state health plans.,Yes,Yes,"Aaron Doering, Aaron Ostler, Abagael Brault, Abbey Graner, Abbey Olderog","Outpatient Therapy Intern, MA, LPCC Track, LPCC, MSW, LMHC","ADHD, Anger Issues, Anxiety, Autism, Bipolar Disorder, Depression, Insomnia, LGBTQIA+ Affirming, Stress Management, Substance Use, Suicidal Thoughts, Work Issues",Yes,Yes,https://www.facebook.com/SagentBehavioralHealth/,https://www.instagram.com/sagentbehavioralhealth/,Sagent Behavioral Health was formerly Nystrom Counseling. They have multiple locations across several states.,MN DHS + Website Enrichment
Sagent Behavioral Health,No,No,"2405 8th Street South, Suite 200, Moorhead, MN, 56560",Moorhead,MN,56560,952-997-3020,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,sagent_behavioral_health.svg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/vFiNAHDCCWEFOMop.svg,https://sagentbh.com/our-locations/,https://sagentbh.com/our-providers/,Not found,866-938-4159,Not found,"Individual DBT, Group DBT, Skills Training, Therapy, Psychiatry, Substance Use Treatment, Psychological Testing, Telehealth","An evidence-based treatment for borderline personality disorder, chronic depression, anxiety, eating disorders, and addictions. The program includes weekly individual therapy, skills training, and phone coaching.","Adults, Adolescents, Children",Yes - all insurances including medical assistance and other state health plans.,Yes,Yes,"Aaron Doering, Aaron Ostler, Abagael Brault, Abbey Graner, Abbey Olderog","Outpatient Therapy Intern, MA, LPCC Track, LPCC, MSW, LMHC","ADHD, Anger Issues, Anxiety, Autism, Bipolar Disorder, Depression, Insomnia, LGBTQIA+ Affirming, Stress Management, Substance Use, Suicidal Thoughts, Work Issues",Yes,Yes,https://www.facebook.com/SagentBehavioralHealth/,https://www.instagram.com/sagentbehavioralhealth/,Sagent Behavioral Health was formerly Nystrom Counseling. They have multiple locations across several states.,MN DHS + Website Enrichment
Olmsted County DBT Program,No,No,"2100 Campus Drive Southeast, Suite 200, Rochester, MN, 55904",Rochester,MN,55904,507-328-6400,https://www.olmstedcounty.gov/residents/services-individuals-families/adults-seniors/adult-behavioral-health#considering-dbt4,olmsted_county_dbt_program.webp,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/hsuKktslMeujmYgc.webp,https://www.olmstedcounty.gov/government/about-olmsted-county/contact-us,Not found,DBTReferrals@olmstedcounty.gov,507-328-6000,Not found,"Individual DBT, Group DBT, Skills Training","DBT classes are held once a week for two hours. DBT is a one-year commitment. The Skills phone will be available for coaching 24/7. Daily diary cards and weekly individual therapy are required. Regular psychiatry appointments and medication compliance are also required. Participants attend 3-4 orientation sessions with DBT therapists. Attendance is essential, and members will not be allowed to return to the group after four missed sessions.",Unknown,Unknown,Unknown,Unknown,Not found,Not found,Not found,Unknown,Unknown,https://www.facebook.com/OlmstedCounty/,https://www.instagram.com/olmstedcounty/,DBT program requires regular psychiatry appointments and medication compliance. Clients are required to stop seeing their current therapist while in the DBT program.,MN DHS + Website Enrichment
Omni Mental Health,No,No,"245 Ruth Street North, Suite 101 , St. Paul, MN, 55119",St. Paul,MN,55119,651-955-4633,https://www.omnimentalhealth.com/,omni_mental_health.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/HimiwddLyZvEIwgY.png,https://www.omnimentalhealth.com/contact,https://www.omnimentalhealth.com/meet-our-team,info@omnimentalhealth.com,(651) 955-4633,(651) 440-9827,"Individual Therapy, Family Therapy, Couples Therapy, Children's Therapy, Therapy For Teens, Dialectical Behavior Therapy","Learn skills to manage intense emotions, increase self-awareness, and reduce harmful patterns.","Adults, Adolescents, Teens, Children, Early Childhood (0-5), Families",Yes - nearly all major insurance plans,Yes,Yes,"Amanda Nusbaum, Amber Hames, Anton Evans, Bailey Newell, Christina Vikesland","MA, LPCC, CCTP, MS, Prelicensed Practitioner, LMFT, BA, Practicum Intern, LADC, MSW, LICSW, LAMFT","Anxiety & Depression, Stress Management, Emotional Regulation Skills, Couples Counseling, Improving Communication, Parenting Support, Teen Therapy, Child Therapy, Family Therapy, Dialectical Behavior Therapy, Trauma Recovery, Life Transitions, Self-Esteem & Confidence, Self-Harm Prevention, LGBTQ+ Affirming Care, Neurodiversity Support",Unknown,Unknown,Not found,Not found,None,MN DHS + Website Enrichment
Omni Mental Health,No,No,"9298 Central Ave NE, Suite 310, Blaine, MN, 55434",Blaine,MN,55434,651-955-4633,https://www.omnimentalhealth.com/,omni_mental_health.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/HimiwddLyZvEIwgY.png,https://www.omnimentalhealth.com/contact,https://www.omnimentalhealth.com/meet-our-team,info@omnimentalhealth.com,(651) 955-4633,(651) 440-9827,"Individual Therapy, Family Therapy, Couples Therapy, Children's Therapy, Therapy For Teens, Dialectical Behavior Therapy","Learn skills to manage intense emotions, increase self-awareness, and reduce harmful patterns.","Adults, Adolescents, Teens, Children, Early Childhood (0-5), Families",Yes - nearly all major insurance plans,Yes,Yes,"Amanda Nusbaum, Amber Hames, Anton Evans, Bailey Newell, Christina Vikesland","MA, LPCC, CCTP, MS, Prelicensed Practitioner, LMFT, BA, Practicum Intern, LADC, MSW, LICSW, LAMFT","Anxiety & Depression, Stress Management, Emotional Regulation Skills, Couples Counseling, Improving Communication, Parenting Support, Teen Therapy, Child Therapy, Family Therapy, Dialectical Behavior Therapy, Trauma Recovery, Life Transitions, Self-Esteem & Confidence, Self-Harm Prevention, LGBTQ+ Affirming Care, Neurodiversity Support",Unknown,Unknown,Not found,Not found,None,MN DHS + Website Enrichment
Omni Mental Health,No,No,"3257 19th St NW, Suite 4, Rochester, MN, 55901",Rochester,MN,55901,651-955-4633,https://www.omnimentalhealth.com/,omni_mental_health.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/HimiwddLyZvEIwgY.png,https://www.omnimentalhealth.com/contact,https://www.omnimentalhealth.com/meet-our-team,info@omnimentalhealth.com,(651) 955-4633,(651) 440-9827,"Individual Therapy, Family Therapy, Couples Therapy, Children's Therapy, Therapy For Teens, Dialectical Behavior Therapy","Learn skills to manage intense emotions, increase self-awareness, and reduce harmful patterns.","Adults, Adolescents, Teens, Children, Early Childhood (0-5), Families",Yes - nearly all major insurance plans,Yes,Yes,"Amanda Nusbaum, Amber Hames, Anton Evans, Bailey Newell, Christina Vikesland","MA, LPCC, CCTP, MS, Prelicensed Practitioner, LMFT, BA, Practicum Intern, LADC, MSW, LICSW, LAMFT","Anxiety & Depression, Stress Management, Emotional Regulation Skills, Couples Counseling, Improving Communication, Parenting Support, Teen Therapy, Child Therapy, Family Therapy, Dialectical Behavior Therapy, Trauma Recovery, Life Transitions, Self-Esteem & Confidence, Self-Harm Prevention, LGBTQ+ Affirming Care, Neurodiversity Support",Unknown,Unknown,Not found,Not found,None,MN DHS + Website Enrichment
Parker Collins Family Mental Health,Yes,No,"1056 Centerville Circle, Vadnais Heights, MN, 55127",Vadnais Heights,MN,55127,651-604-7771,https://parkercollins.com/,parker_collins_family_mental_health.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/bUuOWYfahqlhkjEn.png,,,,,,,,,,,,,,,,,,,,MN DHS Only
Peaks of Hope Counseling,No,No,"1652 Greenview Dr SW, #160, Rochester, MN, 55902",Rochester,MN,55902,507-884-6164,https://www.peaksofhope.com/,peaks_of_hope_counseling.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/QQShFvKEzZaOCOuf.png,https://www.peaksofhope.com/contact-us,https://www.peaksofhope.com/clinicians,andrea@peaksofhope.com,507.722.0198,507.206.7626,"Individual & Couples Counseling, Neurofeedback Therapy, EMDR, Anchored Relational Model, Somatic Experiencing, Dialectical Behavioral Therapy (DBT)",Comprehensive behavioral intervention therapy,Unknown,Unknown,Unknown,Yes,"Dr. Andrea Thomas, Sheena Sandberg, Sara Fister, Britney Meyers, Kim Passero","EdD, MS, LPCC, NCC, SEP, MS, LPCC, MSW, LICSW, MS, Clinical Trainee, MS, Marriage and Family Psychotherapist","Trauma, EMDR, Neurofeedback, Anchored Relational Model, Somatic Experiencing",Unknown,Unknown,Not found,Not found,"DBT Skills Group ongoing Tuesdays 11:00 am - 1:00 pm, led by Britney and Sheena.",MN DHS + Website Enrichment
PhoenixRisen Counseling LLC,Yes,No,"6640 Shady Oak Road, Eden Prairie, MN, 55344",Eden Prairie,MN,55344,612-217-1810,https://www.prcounselingmn.com/,phoenixrisen_counseling_llc.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/POIhFHpsOTfnNNAI.png,Not found,https://www.prcounselingmn.com/team,Not found,612-217-1810,Not found,"Individual Therapy, Couple Therapy, Family Therapy, DBT","Dialectical Behavioral Therapy (DBT) is an evidence-based behavioral treatment designed for people who have difficulty managing their emotions, behaviors and relationships. DBT focuses on the development of skills to live more effectively, cope better with stress, regulate emotions, be less impulsive, and improve relationships with others. We offer state-certified Adult and Adolescent/Family DBT programs.",Ages 12+,Yes - All major insurance companies,Yes,Yes,"Richard (Rick) Rittmaster, Lindsay Barganz-Junker, Beth Bordenave, Susan Clough","LPCC, LMFT, MA","Trauma, Anxiety, BPD",Unknown,Unknown,Not found,Not found,No explicit email address or social media links found. Contact is via a form or phone.,MN DHS + Website Enrichment
Psych Recovery Inc.,No,No,"2550 University Ave West, Suite 229 N, St Paul, MN, 55114",St Paul,MN,55114,651-645-3115,http://www.psychrecoveryinc.com/dbt.html,,,http://www.psychrecoveryinc.com/directions.html,http://www.psychrecoveryinc.com/providers.html,Not found,(651) 645-3115,(651) 645-2752,"Individual DBT, Group DBT, Skills Training, Phone Coaching, Consultation","Dialectical Behavior Therapy (DBT) is a comprehensive cognitive-behavioral treatment for disorders of emotion regulation, including Borderline Personality Disorder. It helps individuals build a life worth living by developing a clearer sense of self, learning healthy management of emotions, encouraging acceptance of life's highs and lows without impulsive action, and creating/improving/maintaining healthy, stable relationships. The program provides standard DBT treatment adherent to Dr. Linehan's model, incorporating Skills Training, Individual Therapy, Phone Coaching, and Consultation.",Adults,Unknown,Unknown,Yes,"Sarah Anderson, Ngunge Alemka Antongawoa, Shawn Bixler, Lisa Cowley, Anna Dralle","MSW, LICSW, DNP, CNP, PMHNP-BC, MA, LADC, Psy.D., LP",Unknown,Unknown,Unknown,Not found,Not found,Unknown,MN DHS + Website Enrichment
RADIAS Health,Yes,No,"166 4th Street East, St Paul, MN, 55101",St Paul,MN,55101,651-389-4690,http://www.south-metro.org/programs/,,,,,,,,,,,,,,,,,,,,,,MN DHS Only
Riverstone Psychological Services Inc.,Yes,No,"511 Northern Hills Drive Northeast, Suite 2, Rochester, MN, 55906",Rochester,MN,55906,507-696-2523,https://www.riverstonepsych.com/,riverstone_psychological_services_inc.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/gXzCVzpQygWQDoDG.png,https://www.riverstonepsych.com/contact/,https://www.riverstonepsych.com/licensed-dbt-practitioners-rochester-mn/,info@riverstonepsych.com,507-923-7321,Not found,"Individual and Family Counseling, Dialectical Behavior Therapy (DBT), Supervision, Training, Wellness (Yoga)","Our state-certified Dialectical Behavior Therapy (DBT) program combines cognitive behavior therapy, which emphasizes changing behavior and thought patterns, with mindfulness and self-acceptance.",Unknown,Unknown,Unknown,Yes,"Jami Hoxmeier, Maxine Pfeifer, Amy Fordham, Camille Angelici, Kathleen Meier","Ph.D., L.P., DBT-LBC, MA, LPCC, PsyD, MS, Administrative Assistant",Not found,Unknown,Unknown,Not found,Not found,"We provide educational presentations, training, and supervision to interested students and professionals.",MN DHS + Website Enrichment
Secure Base Counseling Center,Yes,No,"570 Professional Drive, Northfield, MN, 55057",Northfield,MN,55057,507-301-3412,https://www.securebasecounselingcenter.com/,secure_base_counseling_center.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/URjpztFlufGWqijp.png,,,,,,,,,,,,,,,,,,,,MN DHS Only
Secure Base Counseling Center,Yes,No,"213 First St, Farmington, MN, 55024",Farmington,MN,55024,507-301-3412,https://www.securebasecounselingcenter.com/,secure_base_counseling_center.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/URjpztFlufGWqijp.png,,,,,,,,,,,,,,,,,,,,MN DHS Only
Secure Base Counseling Center,Yes,No,"301 E Main St, New Prague, MN, 56071",New Prague,MN,56071,507-301-3412,https://www.securebasecounselingcenter.com/,secure_base_counseling_center.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/URjpztFlufGWqijp.png,,,,,,,,,,,,,,,,,,,,MN DHS Only
Solutions Behavioral Health Center,No,No,"891 Belsly Boulevard, Moorhead, MN, 56560",Moorhead,MN,56560,218-287-4338,http://www.solutionsinpractice.org/assesment-and-therapy,solutions_behavioral_health_center.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/ohhCLRJTYXPVXbWT.png,https://www.solutionsinpractice.org/contact,Not found,Not found,866-455-6417,Not found,"Outpatient Services, Autism Services (ABA), Intensive School Services, Employee Assistance Program (EAP), Mental Health Case Management, Rehabilitative Mental Health Services, Dialectical Behavior Therapy (DBT) group",DBT can be helpful for individuals experiencing difficulty with emotion regulation and self-destructive behaviors. DBT is available in our Moorhead and Detroit Lakes offices.,Unknown,Unknown,Unknown,Yes,Not found,Not found,Not found,Yes,Yes,https://www.facebook.com/solutionsinpractice,https://www.instagram.com/solutionsbhcp/,"The 'Our Team' and 'Mental Health Professionals' links lead to a job openings page, not a staff directory. The website lists multiple locations, implying in-person services.",MN DHS + Website Enrichment
Solutions Behavioral Health Center,No,No,"1104 West River Road, Detroit Lakes, MN, 56051",Detroit Lakes,MN,56051,218-844-6853,http://www.solutionsinpractice.org/assesment-and-therapy,solutions_behavioral_health_center.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/ohhCLRJTYXPVXbWT.png,https://www.solutionsinpractice.org/contact,Not found,Not found,866-455-6417,Not found,"Outpatient Services, Autism Services (ABA), Intensive School Services, Employee Assistance Program (EAP), Mental Health Case Management, Rehabilitative Mental Health Services, Dialectical Behavior Therapy (DBT) group",DBT can be helpful for individuals experiencing difficulty with emotion regulation and self-destructive behaviors. DBT is available in our Moorhead and Detroit Lakes offices.,Unknown,Unknown,Unknown,Yes,Not found,Not found,Not found,Yes,Yes,https://www.facebook.com/solutionsinpractice,https://www.instagram.com/solutionsbhcp/,"The 'Our Team' and 'Mental Health Professionals' links lead to a job openings page, not a staff directory. The website lists multiple locations, implying in-person services.",MN DHS + Website Enrichment
Solutions Behavioral Health Center,No,No,"1806 Fir Avenue E, Suite 200, Fergus Falls, MN, 56537",Fergus Falls,MN,56537,218-988-2992,http://www.solutionsinpractice.org/assesment-and-therapy,solutions_behavioral_health_center.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/ohhCLRJTYXPVXbWT.png,https://www.solutionsinpractice.org/contact,Not found,Not found,866-455-6417,Not found,"Outpatient Services, Autism Services (ABA), Intensive School Services, Employee Assistance Program (EAP), Mental Health Case Management, Rehabilitative Mental Health Services, Dialectical Behavior Therapy (DBT) group",DBT can be helpful for individuals experiencing difficulty with emotion regulation and self-destructive behaviors. DBT is available in our Moorhead and Detroit Lakes offices.,Unknown,Unknown,Unknown,Yes,Not found,Not found,Not found,Yes,Yes,https://www.facebook.com/solutionsinpractice,https://www.instagram.com/solutionsbhcp/,"The 'Our Team' and 'Mental Health Professionals' links lead to a job openings page, not a staff directory. The website lists multiple locations, implying in-person services.",MN DHS + Website Enrichment
Solutions Behavioral Health Center,No,No,"423 Great Oak Dr, Waite Park, MN, 56387",Waite Park,MN,56387,320-281-5305,http://www.solutionsinpractice.org/assesment-and-therapy,solutions_behavioral_health_center.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/ohhCLRJTYXPVXbWT.png,https://www.solutionsinpractice.org/contact,Not found,Not found,866-455-6417,Not found,"Outpatient Services, Autism Services (ABA), Intensive School Services, Employee Assistance Program (EAP), Mental Health Case Management, Rehabilitative Mental Health Services, Dialectical Behavior Therapy (DBT) group",DBT can be helpful for individuals experiencing difficulty with emotion regulation and self-destructive behaviors. DBT is available in our Moorhead and Detroit Lakes offices.,Unknown,Unknown,Unknown,Yes,Not found,Not found,Not found,Yes,Yes,https://www.facebook.com/solutionsinpractice,https://www.instagram.com/solutionsbhcp/,"The 'Our Team' and 'Mental Health Professionals' links lead to a job openings page, not a staff directory. The website lists multiple locations, implying in-person services.",MN DHS + Website Enrichment
Spero,Yes,No,"610 Florence Ave, Owatonna, MN, 55060",Owatonna,MN,55060,507-451-2630,https://speromn.org/,spero.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/oJAVMhkGyWsdXdAk.png,https://speromn.org/contact-us/,https://speromn.org/providers/,info@speromn.org,(507) 451-2630,(507) 455-8133,"Therapy, Substance Use & Recovery, Housing Services, Mobile Response, Adult Services, Assertive Community Treatment (ACT), Children's Services, Residential Treatment, Pharmacy",Unknown,Adults and Adolescents,Unknown,Unknown,Yes,"Michele Merxbauer, Amy Bartz, Christie Grunwald, Grace Bartlett, Jordan Richardson","LGSW, MSW, LICSW, CPRP, RN, LSW, BSSW, MS, LPCC, LADC, CPAHA, MSN, PHN, APRN, M.Ed., PMHNP-BC, MSSW, MA","Depression, Anxiety, Co-Occurring Disorders, Homelessness, Crisis Intervention, Severe Mental Health Conditions",Unknown,Yes,Not found,Not found,Spero was formerly known as SCHRC. They are a Certified Community Behavioral Health Clinic (CCBHC). They have an in-house pharmacy.,MN DHS + Website Enrichment
Spero,Yes,No,"17 5th St SE, Kasson, MN, 55944",Kasson,MN,55944,507-634-4639,https://speromn.org/,spero.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/oJAVMhkGyWsdXdAk.png,https://speromn.org/contact-us/,https://speromn.org/providers/,info@speromn.org,(507) 451-2630,(507) 455-8133,"Therapy, Substance Use & Recovery, Housing Services, Mobile Response, Adult Services, Assertive Community Treatment (ACT), Children's Services, Residential Treatment, Pharmacy",Unknown,Adults and Adolescents,Unknown,Unknown,Yes,"Michele Merxbauer, Amy Bartz, Christie Grunwald, Grace Bartlett, Jordan Richardson","LGSW, MSW, LICSW, CPRP, RN, LSW, BSSW, MS, LPCC, LADC, CPAHA, MSN, PHN, APRN, M.Ed., PMHNP-BC, MSSW, MA","Depression, Anxiety, Co-Occurring Disorders, Homelessness, Crisis Intervention, Severe Mental Health Conditions",Unknown,Yes,Not found,Not found,Spero was formerly known as SCHRC. They are a Certified Community Behavioral Health Clinic (CCBHC). They have an in-house pharmacy.,MN DHS + Website Enrichment
